country,count,mean_rat
Monaco,63,8.60634920634922
Congo,34,8.544117647058822
Benin,38,8.428947368421053
Senegal,40,8.1925
Albania,321,8.147663551401866
Algeria,67,8.002985074626876
Morocco,68,7.998529411764717
Cameroon,45,7.988888888888892
Paraguay,65,7.969230769230769
Lebanon,174,7.744252873563211
United States,1309896,7.692049368830398
Bangladesh,166,7.69096385542169
Tunisia,129,7.520930232558145
Panama,245,7.375918367346922
Jamaica,78,7.319230769230772
Azerbaijan,203,7.275369458128083
Pakistan,213,7.262910798122067
Georgia,202,7.1930693069306715
Estonia,1348,7.1019287833828075
Qatar,24,7.099999999999997
Cuba,48,7.074999999999999
Belgium,7734,7.034238427721793
"Taiwan, Province of China",196,7.0239795918367465
Switzerland,1931,7.017814603832232
Uruguay,10856,7.0040438467206965
Ukraine,304,6.998355263157904
Hungary,18597,6.965628864870914
Egypt,427,6.923887587822023
Poland,21324,6.920090039392133
Brazil,33712,6.919625059325987
Croatia,5489,6.91484787757345
Romania,15987,6.881660098830304
Mexico,29160,6.870836762688667
Iceland,86,6.866279069767439
Slovenia,3281,6.8656202377324185
Austria,17571,6.863422685106338
Argentina,33938,6.853208792503987
Peru,6006,6.839843489843518
Venezuela,3128,6.823273657289028
Chile,6727,6.818269659580629
Czech Republic,9414,6.815413214361795
Lithuania,1057,6.810312204351931
India,55031,6.800423397721254
Ethiopia,45,6.800000000000005
"Palestinian Territory, Occupied",57,6.794736842105261
Malaysia,336,6.788392857142848
Denmark,32072,6.78094287852333
"Korea, Republic of (South)",1786,6.779507278835469
Serbia,4907,6.775565518646833
Canada,140341,6.774370996359607
Spain,72766,6.77025259049563
"Iran, Islamic Republic of",2122,6.764938737040525
Finland,38264,6.74992421074658
Israel,6473,6.749915031670042
Russian Federation,1206,6.749336650082916
Italy,60664,6.747711987340052
Portugal,24777,6.741986519756233
Bolivia,28,6.724999999999999
Slovakia,2736,6.723355263157776
Turkey,16575,6.721580693815975
Bulgaria,606,6.714686468646854
Australia,118734,6.700425320463884
South Africa,1158,6.690500863557864
New Zealand,14495,6.67997240427722
Germany,62867,6.67759874019665
Colombia,3347,6.676904690767856
Greece,36752,6.666205920766428
Ireland,20449,6.656173896034341
Singapore,1246,6.646950240770473
Luxembourg,419,6.642243436754191
Norway,15943,6.639302515210498
Sweden,29131,6.632226837389902
United Kingdom (Great Britain),276896,6.626850514269778
United Kingdom (Great Britain),276896,6.626850514269778
Vietnam,432,6.6250000000000036
France,109477,6.620809850471201
Netherlands,12383,6.599119760962711
Japan,26483,6.558750896801957
Hong Kong,4047,6.541561650605318
Thailand,601,6.525956738768716
Costa Rica,100,6.40000000000001
Latvia,1417,6.360973888496809
China,609,6.350410509031196
Philippines,2776,6.175324207492698
Bosnia and Herzegovina,279,6.172043010752697
Indonesia,230,5.963478260869566
United Arab Emirates,113,5.709734513274341
Ecuador,79,5.6898734177215164
Puerto Rico,189,5.567195767195759
Cambodia,48,5.5375000000000005
Isle of Man,31,5.400000000000003
Aruba,260,5.387307692307685
Kazakhstan,25,5.276000000000002
Nigeria,240,5.255833333333347
